year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2022,asia games,LAI Pin-Ju,TPE,9,BB,2,5.1 ,7.866 ,12.966 ,,,,
2022,asia games,LAI Pin-Ju,TPE,9,FX,3,4.6 ,7.166 ,11.766 ,,,,
2022,asia games,BAUYRZHANOVA Aida,KAZ,10,VT,4,3.4 ,8.200 ,11.600 ,,,,
2022,asia games,BAUYRZHANOVA Aida,KAZ,10,UB,1,4.1 ,7.000 ,11.100 ,,,,
2022,asia games,BAUYRZHANOVA Aida,KAZ,10,BB,2,4.9 ,7.033 ,11.933 ,,,,
2022,asia games,BAUYRZHANOVA Aida,KAZ,10,FX,3,5.0 ,7.900 ,12.900 ,,,,
2022,asia games,MUEANGPHUAN Sasiwimon,THA ,11,VT,3,3.8 ,8.566 ,12.366 ,,,,
2022,asia games,MUEANGPHUAN Sasiwimon,THA ,11,UB,4,4.0 ,5.700 ,9.700 ,,,,
2022,asia games,MUEANGPHUAN Sasiwimon,THA ,11,BB,1,4.7 ,6.433 ,11.133 ,,,,
2022,asia games,MUEANGPHUAN Sasiwimon,THA ,11,FX,2,4.8 ,7.733 ,12.533 ,,,,
2022,asia games,LIM Sasiwimon,SGP,12,VT,3,3.6 ,8.900 ,12.500 ,,,,
2022,asia games,LIM Sasiwimon,SGP,12,UB,4,2.2 ,7.366 ,9.566 ,,,,
2022,asia games,LIM Sasiwimon,SGP,12,BB,1,4.6 ,7.300 ,11.900 ,,,,
2022,asia games,LIM Sasiwimon,SGP,12,FX,2,4.1 ,7.400 ,11.500 ,,,,
2022,asia games,LOPEZ Kursten Rogue,PHI,13,VT,3,3.4 ,8.766 ,12.166 ,,,,
2022,asia games,LOPEZ Kursten Rogue,PHI,13,UB,4,2.8 ,7.233 ,10.033 ,,,,
2022,asia games,LOPEZ Kursten Rogue,PHI,13,BB,1,4.3 ,7.066 ,11.366 ,,,,
2022,asia games,LOPEZ Kursten Rogue,PHI,13,FX,2,4.2 ,6.566 ,10.766 ,,,,
2022,asia games,KHALIMARDEN Amina,KAZ,14,VT,3,3.6 ,8.700 ,12.300 ,,,,
2022,asia games,KHALIMARDEN Amina,KAZ,14,UB,4,4.3 ,6.166 ,10.466 ,,,,
2022,asia games,KHALIMARDEN Amina,KAZ,14,BB,1,4.5 ,6.300 ,10.800 ,,,,
2022,asia games,KHALIMARDEN Amina,KAZ,14,FX,2,4.4 ,6.066 ,10.466 ,,,,
2022,asia games,PATANAKUL Ananya Belle,THA,15,VT,3,4.2 ,8.533 ,12.733 ,,,,
2022,asia games,PATANAKUL Ananya Belle,THA,15,UB,4,4.2 ,6.433 ,10.633 ,,,,
2022,asia games,PATANAKUL Ananya Belle,THA,15,BB,1,3.7 ,5.466 ,9.166 ,,,,
2022,asia games,PATANAKUL Ananya Belle,THA,15,FX,2,4.3 ,7.133 ,11.433 ,,,,
2022,asia games,POH Zi Xuan Shandy,SGP,16,VT,4,3.0 ,8.566 ,11.566 ,,,,
2022,asia games,POH Zi Xuan Shandy,SGP,16,UB,1,3.6 ,4.833 ,8.433 ,,,,
2022,asia games,POH Zi Xuan Shandy,SGP,16,BB,2,4.4 ,6.433 ,10.833 ,,,,
2022,asia games,POH Zi Xuan Shandy,SGP,16,FX,3,4.2 ,7.066 ,11.266 ,,,,
2022,world champion,ANDRADE Rebeca,BRA,1,VT,1,5.6 ,9.566 ,15.166 ,,,,
2022,world champion,ANDRADE Rebeca,BRA,1,UB,2,6.2 ,7.600 ,13.800 ,,,,
2022,world champion,ANDRADE Rebeca,BRA,1,BB,3,6.0 ,7.533 ,13.533 ,,,,
2022,world champion,ANDRADE Rebeca,BRA,1,FX,4,6.1 ,8.300 ,14.400 ,,,,
2022,world champion,JONES Shilese,USA,2,VT,1,5.0 ,9.233 ,14.233 ,,,,
2022,world champion,JONES Shilese,USA,2,UB,2,6.3 ,8.066 ,14.366 ,,,,
2022,world champion,JONES Shilese,USA,2,BB,3,5.2 ,7.900 ,13.100 ,,,,
2022,world champion,JONES Shilese,USA,2,FX,4,5.5 ,8.200 ,13.700 ,,,,
2022,world champion,GADIROVA Jessica ,GBR,3,VT,1,5.0 ,8.833 ,13.833 ,,,,
2022,world champion,GADIROVA Jessica ,GBR,3,UB,2,5.6 ,7.633 ,13.233 ,,,,
2022,world champion,GADIROVA Jessica ,GBR,3,BB,3,5.7 ,8.033 ,13.733 ,,,,
